Date, Open, High, Low, Close, Volume
12/01/20, 152.24, 154.31, 149.36, 149.84, 1018344
11/30/20, 154.85, 157.48, 149.463, 153.11, 4558654
11/27/20, 141.88, 150.80, 141.78, 150.67, 764609
11/25/20, 137.13, 140.98, 136.37, 140.84, 949768
11/24/20, 136.07, 137.71, 134.51, 136.15, 996633
11/23/20, 140.00, 140.865, 136.17, 137.54, 420756
11/20/20, 138.60, 141.09, 137.58, 139.72, 443082
11/19/20, 140.00, 141.51, 137.19, 137.77, 580666
11/18/20, 135.01, 141.76, 135.01, 139.90, 747279
11/17/20, 133.21, 138.87, 132.57, 135.67, 478376
11/16/20, 137.04, 137.56, 131.09, 135.25, 695675
11/13/20, 140.00, 141.9999, 136.96, 138.55, 482575
11/12/20, 137.02, 141.13, 134.30, 139.97, 555193
11/11/20, 137.99, 139.31, 133.102, 136.62, 1133279
11/10/20, 133.20, 138.55, 125.84, 129.00, 1550312
11/09/20, 147.62, 147.62, 133.50, 134.16, 1039455
11/06/20, 148.58, 150.13, 145.00, 147.70, 504311
11/05/20, 145.78, 149.11, 140.89, 148.59, 588893
11/04/20, 138.98, 142.36, 136.54, 141.80, 516927
11/03/20, 136.09, 139.01, 135.09, 137.32, 416127
11/02/20, 137.50, 139.83, 134.63, 136.05, 414431
10/30/20, 139.61, 140.62, 135.74, 136.90, 249499
10/29/20, 142.51, 143.69, 140.43, 140.74, 420662
10/28/20, 141.46, 142.81, 138.36, 141.03, 333839
10/27/20, 143.21, 146.4499, 140.5187, 142.93, 671443
10/26/20, 142.00, 144.56, 139.53, 141.24, 480187
10/23/20, 147.99, 147.99, 142.08, 142.27, 669559
10/22/20, 144.80, 147.3999, 141.33, 145.65, 542513
10/21/20, 153.58, 157.69, 141.76, 143.00, 1389056
10/20/20, 163.21, 164.86, 152.25, 152.96, 985390
10/19/20, 163.21, 166.31, 162.04, 163.07, 586493
10/16/20, 163.99, 165.63, 163.1128, 163.70, 332754
10/15/20, 161.22, 163.5186, 158.395, 161.95, 424874
10/14/20, 162.50, 164.72, 158.66, 161.47, 567757
10/13/20, 156.15, 162.39, 156.15, 160.93, 1012662
10/12/20, 155.15, 159.02, 155.00, 157.04, 861450
10/09/20, 151.92, 155.01, 146.40, 154.49, 921574
10/08/20, 148.03, 152.47, 147.48, 152.01, 725046
10/07/20, 138.02, 146.17, 136.49, 145.84, 885273
10/06/20, 131.41, 137.66, 131.04, 136.78, 871936
10/05/20, 129.75, 132.24, 128.87, 130.74, 829730
10/02/20, 124.47, 129.66, 123.336, 128.12, 796611
10/01/20, 126.88, 126.88, 123.56, 126.47, 691415
09/30/20, 123.11, 125.60, 122.261, 124.68, 481598
09/29/20, 125.78, 126.64, 124.47, 124.97, 430573
09/28/20, 124.94, 126.669, 123.725, 124.82, 880587
09/25/20, 121.85, 124.62, 120.32, 124.28, 772245
09/24/20, 121.20, 122.58, 118.48, 121.40, 481824
09/23/20, 123.83, 123.83, 120.16, 120.30, 698515
09/22/20, 122.32, 123.17, 121.43, 122.62, 710524
09/21/20, 121.07, 122.43, 118.12, 121.87, 392943
09/18/20, 121.93, 122.43, 118.39, 121.89, 3169391
09/17/20, 117.01, 121.63, 115.39, 120.14, 1062128
09/16/20, 117.92, 123.98, 117.92, 122.39, 974402
09/15/20, 121.01, 122.92, 116.50, 118.79, 794430
09/14/20, 124.19, 125.915, 120.87, 120.91, 1391902
09/11/20, 112.00, 125.30, 112.00, 125.00, 4890788
09/10/20, 114.00, 115.5316, 112.505, 113.51, 688598
09/09/20, 105.01, 115.51, 104.60, 113.00, 936700
09/08/20, 104.06, 111.39, 103.61, 108.27, 816021
09/04/20, 107.85, 109.97, 100.45, 106.33, 496973
09/03/20, 109.00, 110.98, 106.53, 107.77, 776057
09/02/20, 114.39, 115.12, 110.60, 111.38, 702967
09/01/20, 115.25, 115.90, 112.12, 113.73, 651787
08/31/20, 110.50, 115.71, 110.00, 114.62, 508863
08/28/20, 110.00, 110.69, 109.22, 110.31, 310751
08/27/20, 109.88, 111.43, 108.23, 110.29, 317731
08/26/20, 109.01, 111.43, 108.62, 110.33, 298925
08/25/20, 108.34, 110.28, 107.26, 108.42, 387254
08/24/20, 109.56, 109.87, 104.61, 105.83, 290398
08/21/20, 109.78, 110.66, 108.71, 109.63, 445620
08/20/20, 108.78, 110.00, 107.75, 109.50, 352913
08/19/20, 105.61, 109.99, 104.7606, 108.78, 462913
08/18/20, 104.18, 106.00, 101.51, 105.42, 712247
08/17/20, 103.66, 105.86, 102.21, 105.61, 505018
08/14/20, 102.65, 104.58, 100.85, 102.71, 652138
08/13/20, 97.94, 104.88, 97.62, 104.765, 1339068
08/12/20, 97.02, 99.49, 92.5397, 97.51, 1572180
08/11/20, 96.69, 98.28, 94.49, 96.90, 543117
08/10/20, 96.24, 97.44, 96.05, 96.90, 498055
08/07/20, 98.90, 99.30, 95.38, 96.13, 609380
08/06/20, 99.90, 100.8294, 98.97, 99.21, 206411
08/05/20, 99.79, 100.20, 99.00, 100.00, 382297
08/04/20, 98.75, 100.00, 97.21, 99.03, 273300
08/03/20, 99.00, 101.46, 98.025, 99.01, 890517
07/31/20, 97.96, 98.48, 95.82, 98.37, 926813
07/30/20, 96.51, 98.79, 94.71, 97.51, 679140
07/29/20, 95.95, 99.47, 95.86, 98.88, 702236
07/28/20, 96.72, 98.73, 95.1533, 95.50, 547888
07/27/20, 94.99, 96.42, 94.48, 95.81, 521317
07/24/20, 95.76, 95.76, 93.12, 94.65, 427501
07/23/20, 95.80, 96.86, 94.845, 95.85, 492391
07/22/20, 95.48, 96.88, 93.58, 94.61, 256492
07/21/20, 93.10, 95.27, 91.86, 95.21, 2306904
07/20/20, 91.90, 94.48, 91.52, 93.00, 573368
07/17/20, 89.52, 92.50, 88.57, 91.87, 329218
07/16/20, 90.15, 90.81, 87.75, 89.19, 195775
07/15/20, 90.07, 91.38, 88.58, 90.93, 254311
07/14/20, 86.19, 89.24, 85.74, 88.91, 496349
07/13/20, 91.89, 92.99, 87.10, 87.44, 403721
07/10/20, 92.87, 93.19, 89.76, 91.06, 354381
07/09/20, 92.00, 92.40, 89.66, 92.29, 447125
07/08/20, 89.00, 91.5799, 89.00, 91.19, 642020
07/07/20, 90.28, 90.48, 88.63, 88.66, 323430
07/06/20, 90.46, 93.44, 89.6001, 90.14, 395165
07/02/20, 88.89, 90.03, 87.64, 89.99, 584208
07/01/20, 89.08, 89.80, 86.49, 88.00, 626676
06/30/20, 84.65, 89.37, 83.78, 89.31, 529043
06/29/20, 86.16, 87.04, 83.37, 84.65, 451695
06/26/20, 87.28, 88.05, 84.29, 86.25, 4483945
06/25/20, 88.43, 89.265, 86.09, 87.09, 873332
06/24/20, 88.78, 90.65, 86.1901, 87.95, 588171
06/23/20, 89.28, 91.50, 87.94, 89.17, 1703032
06/22/20, 88.20, 89.43, 86.09, 89.13, 1275932
06/19/20, 89.55, 90.845, 87.47, 88.14, 1893740
06/18/20, 87.90, 89.81, 87.75, 88.84, 1259488
06/17/20, 89.47, 90.90, 87.845, 88.30, 1495786
06/16/20, 89.98, 90.67, 87.12, 88.46, 848208
06/15/20, 82.76, 89.07, 80.90, 88.42, 1658893
06/12/20, 83.16, 84.89, 80.90, 83.26, 894482
06/11/20, 84.15, 85.21, 81.5663, 81.99, 600103
06/10/20, 83.54, 86.16, 83.54, 85.50, 604114
06/09/20, 80.91, 85.53, 80.42, 83.09, 678503
06/08/20, 83.29, 83.32, 80.595, 81.00, 1183930
06/05/20, 80.26, 82.53, 78.68, 82.38, 722834
06/04/20, 84.41, 84.75, 78.52, 79.70, 1288309
06/03/20, 81.17, 86.90, 80.60, 85.91, 1655971
06/02/20, 81.91, 82.2381, 79.95, 80.50, 776590
06/01/20, 77.98, 82.36, 76.595, 81.95, 1226875
05/29/20, 76.56, 78.19, 76.01, 77.97, 876972
05/28/20, 78.28, 79.39, 76.26, 76.29, 357677
05/27/20, 75.70, 78.00, 74.01, 77.66, 535642
05/26/20, 75.89, 78.79, 74.85, 76.00, 690616
05/22/20, 75.59, 75.59, 72.04, 74.85, 1056012
05/21/20, 78.16, 78.47, 75.33, 76.00, 512825
05/20/20, 79.00, 80.50, 77.71, 78.00, 1054333
05/19/20, 77.30, 79.7141, 77.30, 78.20, 1019612
05/18/20, 78.00, 80.97, 76.92, 77.20, 879493
05/15/20, 78.08, 80.00, 77.60, 77.95, 520272
05/14/20, 74.53, 79.37, 72.36, 78.97, 1387959
05/13/20, 81.01, 83.50, 78.37, 80.08, 948558
05/12/20, 79.55, 83.00, 74.00, 82.59, 1392465
05/11/20, 83.00, 85.12, 82.08, 82.10, 786340
05/08/20, 80.98, 84.40, 80.50, 82.96, 532876
05/07/20, 79.51, 81.47, 78.405, 80.81, 599343
05/06/20, 78.29, 79.50, 77.03, 78.70, 352083
05/05/20, 79.13, 80.1388, 77.59, 78.17, 664096
05/04/20, 78.33, 78.94, 76.82, 77.91, 360230
05/01/20, 78.51, 79.80, 76.01, 78.41, 613999
04/30/20, 81.06, 82.40, 78.66, 79.87, 577030
04/29/20, 77.40, 82.36, 76.25, 81.75, 1096315
04/28/20, 76.72, 77.44, 75.305, 76.26, 522170
04/27/20, 75.00, 76.77, 74.09, 76.19, 1117800
04/24/20, 73.08, 74.52, 72.775, 74.00, 701685
04/23/20, 75.40, 76.42, 72.82, 73.94, 631885
04/22/20, 76.57, 76.57, 75.01, 76.00, 647756
04/21/20, 74.48, 75.42, 73.545, 74.58, 738500
04/20/20, 68.42, 74.98, 67.75, 74.20, 692412
04/17/20, 69.48, 71.91, 69.28, 71.16, 676031
04/16/20, 67.48, 68.72, 66.26, 68.50, 452158
04/15/20, 66.12, 67.48, 64.65, 66.80, 396333
04/14/20, 64.22, 67.00, 62.87, 66.75, 949947
04/13/20, 66.40, 67.48, 62.70, 64.89, 353073
04/09/20, 64.99, 66.3056, 62.7769, 65.92, 595130
04/08/20, 60.33, 64.55, 59.36, 64.32, 494420
04/07/20, 62.96, 63.05, 58.11, 60.85, 607171
04/06/20, 59.13, 62.50, 59.13, 62.27, 628939
04/03/20, 59.45, 61.40, 58.04, 58.69, 422222
04/02/20, 58.12, 60.65, 56.81, 59.74, 344168
04/01/20, 59.80, 60.96, 57.01, 58.39, 424543
03/31/20, 63.36, 63.36, 60.32, 62.32, 286194
03/30/20, 61.16, 63.84, 58.055, 62.80, 418759
03/27/20, 60.40, 62.10, 59.25, 59.99, 148529
03/26/20, 60.00, 63.99, 59.99, 61.04, 307447
03/25/20, 57.01, 62.59, 55.18, 59.99, 535119
03/24/20, 53.75, 57.81, 53.75, 57.11, 694187
03/23/20, 55.56, 55.9854, 48.78, 51.57, 1261428
03/20/20, 53.78, 56.78, 52.51, 55.78, 1342463
03/19/20, 57.07, 58.50, 51.965, 55.00, 1125751
03/18/20, 57.55, 59.49, 54.39, 58.00, 584510
03/17/20, 55.47, 61.71, 53.85, 59.88, 430657
03/16/20, 51.00, 60.99, 51.00, 55.55, 693479
03/13/20, 60.00, 62.69, 55.56, 57.36, 726143
